Id,Regiao,Prima,CustoProduto,Pmaquinabase,Pmaquina1,Pmaquina2,Pmaquina3,Cmaquina1,Cmaquina2,Cmaquina3,Resposta
3391,553,2525,41349,1435.54,2709.65,3354.32,3599.25,1540.36208382027,1435.54,1159.64218112762,0
3392,560,2463,53276,1380.39,1934.24,3048.5,3256.94,1474.77362853863,1380.39,875.842399081516,0
3393,560,1688,40345,980.19,1619.29,1771.61,1872.09,1035.78321250162,980.19,895.914939010279,0
3394,555,2238,43874,1009.07,1524.41,1746.64,1895.82,1095.25436689873,1009.07,880.683139456328,0
3395,559,1876,35232,621.38,935.23,840.6,876.65,648.028523673566,621.38,691.331450630502,0
3396,553,2501,51689,1995.77,3068.09,3796.41,4033.7,2120.51318192714,1995.77,1612.89270107812,0
3397,556,8038,157451,4062.95,4962.11,6097.71,6396.56,4262.07600099054,4062.95,3306.29118546143,0
3398,555,1989,21288,908.65,1489.71,1685.14,1904.56,1026.96419525974,908.65,803.271533225726,0
3399,559,5073,28398,834.08,1202.57,1203.91,1312.79,909.51307257187,834.08,833.151635587378,0
3400,556,2057,23190,978,1758.16,1830.89,1956.23,1044.95242204611,978,939.150074553905,0
3401,553,3498,21734,1298.24,2295.55,2658.32,2935.09,1433.40577567787,1298.24,1121.07452526408,0
3402,558,1855,18372,825.95,1241.62,1276.26,1427.35,923.730064798709,825.95,803.532226192155,0
3403,552,3667,94317,1305.94,2022.19,2186.6,2266.43,1353.61821741517,1305.94,1207.74664255008,0
3404,552,1450,23073,1440.29,1641.59,1702.51,1910.14,1615.94089937798,1440.29,1388.75287728119,0
3405,556,1765,20856,999.34,1688.3,2231,2372.53,1062.73605118781,999.34,756.246401613626,0
3406,560,4159,94424,1838.47,2511.05,3193.96,3304.23,1901.94233118135,1838.47,1445.3813114441,0
3407,553,1460,14074,342.43,908.11,965.87,1101.7,390.585825214573,342.43,321.95234068767,0
3408,555,2076,35084,1813.12,1977.45,2505.3,2762.83,1999.49799608829,1813.12,1431.10770925638,0
3409,560,1618,33440,534.6,927.66,713.67,757.53,567.454899323217,534.6,694.896851485981,0
3410,553,3498,18260,684.25,913.9,1111.32,1252.9,771.422115142353,684.25,562.696680524061,0
3411,554,5435,85578,1775.57,3720.69,5020.43,5223.63,1847.43552227598,1775.57,1315.89237242627,0
3412,558,1582,17736,775.19,863.64,915.16,1037.7,878.988005376109,775.19,731.549774465667,0
3413,557,2238,86810,602.64,1543.94,1594.59,1703.29,643.720759317442,602.64,583.49795345512,0
3414,552,1623,15159,398.2,939.02,737.65,868.09,468.614435030163,398.2,506.904038500644,0
3415,552,2462,41429,1559.46,2746.31,3512.57,3789.11,1682.23422753141,1559.46,1219.26697335569,0
3416,552,2551,29883,617.17,1112.44,991.69,1097.54,683.044864625034,617.17,692.317755346933,0
3417,556,1298,17684,498.48,900.32,880.39,927.74,525.289741137451,498.48,509.764438033144,0
3418,553,1830,25653,756.94,1390.39,1577.21,1713.11,822.16159129095,756.94,667.280708719828,0
3419,553,1168,24970,532.56,924.39,978.86,989.55,538.376016999366,532.56,502.924972314733,0
3420,558,2296,27894,934.77,1367.74,1393.41,1527.93,1025.01282903094,934.77,917.549263892178,0
3421,558,1623,14524,674.08,1309.06,1135.38,1242.89,737.909150416601,674.08,777.194564639152,0
3422,553,3587,145004,2067.28,3944.86,4776.91,5081.45,2199.0742877718,2067.28,1707.19778702132,0
3423,560,2417,79412,667.29,2143.83,1852.34,1996.23,719.125169623287,667.29,772.296835732101,0
3424,560,3339,42112,532.49,947.69,844.11,878.38,554.108547701129,532.49,597.831382284299,0
3425,558,5679,60483,1663.84,2319.08,3049.42,3222.06,1758.03671203048,1663.84,1265.34818660598,0
3426,553,1954,75519,2037.49,2393.34,3240.61,3457.03,2173.56116740367,2037.49,1504.78037054752,0
3427,556,1669,24526,740.8,1285.04,1460.28,1562.8,792.808392910949,740.8,651.900753280193,0
3428,557,1697,52451,574.25,1265.74,1099.56,1142.15,596.492813034305,574.25,661.038228927935,0
3429,553,4539,102764,1803.39,2760.12,2925.82,3112.29,1918.32466218018,1803.39,1701.25735923604,0
3430,553,2901,39046,768.89,1280.75,1376.88,1473.69,822.951531070246,768.89,715.208200787287,0
3431,558,3467,38177,736.37,1338.36,1384.06,1525.17,811.44562583992,736.37,712.055946418508,0
3432,556,2321,28015,912.77,2281.54,2402.25,2522.27,958.373353272973,912.77,866.904471141638,0
